customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,yes,no,1,no,no phone service,DSL,no,yes,no,no,no,no,Month-to-month,yes,Electronic check,29.85,29.85,no
5575-GNVDE,Male,0,no,no,34,yes,no,DSL,yes,no,yes,no,no,no,One year,no,Mailed check,56.95,1889.5,no
3668-QPYBK,Male,0,no,no,2,yes,no,DSL,yes,yes,no,no,no,no,Month-to-month,yes,Mailed check,53.85,108.15,yes
7795-CFOCW,Male,0,no,no,45,no,no phone service,DSL,yes,no,yes,yes,no,no,One year,no,Bank transfer (automatic),42.3,1840.75,no
9237-HQITU,Female,0,no,no,2,yes,no,Fiber optic,no,no,no,no,no,no,Month-to-month,yes,Electronic check,70.7,151.65,yes
9305-CDSKC,Female,0,no,no,8,yes,yes,Fiber optic,no,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,99.65,820.5,yes
1452-KIOVK,Male,0,no,yes,22,yes,yes,Fiber optic,no,yes,no,no,yes,no,Month-to-month,yes,Credit card (automatic),89.1,1949.4,no
6713-OKOMC,Female,0,no,no,10,no,no phone service,DSL,yes,no,no,no,no,no,Month-to-month,no,Mailed check,29.75,301.9,no
7892-POOKP,Female,0,yes,no,28,yes,yes,Fiber optic,no,no,yes,yes,yes,yes,Month-to-month,yes,Electronic check,104.8,3046.05,yes
6388-TABGU,Male,0,no,yes,62,yes,no,DSL,yes,yes,no,no,no,no,One year,no,Bank transfer (automatic),56.15,3487.95,no
9763-GRSKD,Male,0,yes,yes,13,yes,no,DSL,yes,no,no,no,no,no,Month-to-month,yes,Mailed check,49.95,587.45,no
7469-LKBCI,Male,0,no,no,16,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),18.95,326.8,no
8091-TTVAX,Male,0,yes,no,58,yes,yes,Fiber optic,no,no,yes,no,yes,yes,One year,no,Credit card (automatic),100.35,5681.1,no
0280-XJGEX,Male,0,no,no,49,yes,yes,Fiber optic,no,yes,yes,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),103.7,5036.3,yes
5129-JLPIS,Male,0,no,no,25,yes,no,Fiber optic,yes,no,yes,yes,yes,yes,Month-to-month,yes,Electronic check,105.5,2686.05,no
3655-SNQYZ,Female,0,yes,yes,69,yes,yes,Fiber optic,yes,yes,yes,yes,yes,yes,Two year,no,Credit card (automatic),113.25,7895.15,no
8191-XWSZG,Female,0,no,no,52,yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Mailed check,20.65,1022.95,no
9959-WOFKT,Male,0,no,yes,71,yes,yes,Fiber optic,yes,no,yes,no,yes,yes,Two year,no,Bank transfer (automatic),106.7,7382.25,no
4190-MFLUW,Female,0,yes,yes,10,yes,no,DSL,no,no,yes,yes,no,no,Month-to-month,no,Credit card (automatic),55.2,528.35,yes
4183-MYFRB,Female,0,no,no,21,yes,no,Fiber optic,no,yes,yes,no,no,yes,Month-to-month,yes,Electronic check,90.05,1862.9,no
8779-QRDMV,Male,1,no,no,1,no,no phone service,DSL,no,no,yes,no,no,yes,Month-to-month,yes,Electronic check,39.65,39.65,yes
